(XYZ = 346.30, 3.70, 34.61; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 345.66, 3.70, 34.61; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 345.15, 3.70, 34.61; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 344.70, 3.70, 34.61; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 346.22, 3.70, 32.50; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 345.70, 3.70, 32.50; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 345.18, 3.69, 32.50; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 344.70, 3.69, 32.50; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 346.33, 3.85, 38.73; ItemName = Button0; StoreName = WoodRUs),
(XYZ = 345.10, 3.87, 38.81; ItemName = Button0; StoreName = WoodRUs),
(XYZ = 346.47, 3.85, 40.80; ItemName = Button0; StoreName = WoodRUs),
(XYZ = 345.10, 3.87, 41.02; ItemName = Button0; StoreName = WoodRUs),
(XYZ = 346.55, 3.85, 43.82; ItemName = Lever0; StoreName = WoodRUs),
(XYZ = 345.11, 3.87, 44.39; ItemName = Lever0; StoreName = WoodRUs),
(XYZ = 345.11, 3.88, 46.66; ItemName = Lever0; StoreName = WoodRUs),
(XYZ = 346.33, 3.85, 46.14; ItemName = Lever0; StoreName = WoodRUs),
(XYZ = 345.20, 6.30, 50.50; ItemName = SilverAxe; StoreName = WoodRUs),
(XYZ = 345.30, 3.50, 50.40; ItemName = SilverAxe; StoreName = WoodRUs),
(XYZ = 345.10, 6.70, 46.21; ItemName = PressurePlate; StoreName = WoodRUs),
(XYZ = 346.26, 6.70, 46.19; ItemName = PressurePlate; StoreName = WoodRUs),
(XYZ = 345.78, 7.56, 33.31; ItemName = ChopSaw; StoreName = WoodRUs),
(XYZ = 328.50, 1.20, 21.78; ItemName = Wedge8; StoreName = WoodRUs),
(XYZ = 329.70, 1.20, 21.78; ItemName = Wedge8_Thin; StoreName = WoodRUs),
(XYZ = 331.90, 1.20, 21.78; ItemName = Wedge9; StoreName = WoodRUs),
(XYZ = 333.10, 1.20, 21.78; ItemName = Wedge9_Thin; StoreName = WoodRUs),
(XYZ = 335.90, 1.18, 21.78; ItemName = Wedge10; StoreName = WoodRUs),
(XYZ = 337.10, 1.18, 21.78; ItemName = Wedge10_Thin; StoreName = WoodRUs),
(XYZ = 333.70, 3.97, 21.38; ItemName = Wedge7; StoreName = WoodRUs),
(XYZ = 334.90, 3.98, 21.38; ItemName = Wedge7_Thin; StoreName = WoodRUs),
(XYZ = 330.30, 3.96, 21.38; ItemName = Wedge6; StoreName = WoodRUs),
(XYZ = 331.50, 3.96, 21.38; ItemName = Wedge6_Thin; StoreName = WoodRUs),
(XYZ = 327.10, 3.98, 21.38; ItemName = Wedge5; StoreName = WoodRUs),
(XYZ = 328.10, 3.98, 21.38; ItemName = Wedge5_Thin; StoreName = WoodRUs),
(XYZ = 327.15, 6.80, 21.60; ItemName = Wedge1; StoreName = WoodRUs),
(XYZ = 328.10, 6.75, 21.40; ItemName = Wedge1_Thin; StoreName = WoodRUs),
(XYZ = 330.30, 6.75, 21.34; ItemName = Wedge2; StoreName = WoodRUs),
(XYZ = 331.30, 6.75, 21.40; ItemName = Wedge2_Thin; StoreName = WoodRUs),
(XYZ = 333.50, 6.75, 21.40; ItemName = Wedge3; StoreName = WoodRUs),
(XYZ = 334.70, 6.75, 21.20; ItemName = Wedge3_Thin; StoreName = WoodRUs),
(XYZ = 337.10, 6.75, 21.40; ItemName = Wedge4; StoreName = WoodRUs),
(XYZ = 338.10, 6.77, 21.20; ItemName = Wedge4_Thin; StoreName = WoodRUs),
(XYZ = 314.40, 6.78, 21.30; ItemName = Ladder1; StoreName = WoodRUs),
(XYZ = 316.20, 6.80, 21.30; ItemName = Post; StoreName = WoodRUs),
